CATEGORY,SKU,PRICE_RETAIL,PRICE_CURRENT,PRODUCT_NAME
Refrigerators,5001252387,999,999,17.2-cu ft Counter-depth Bottom-Freezer Refrigerator (Fingerprint Resistant Stainless Steel) ENERGY STAR
Refrigerators,1002543648,1799,1599,25.5-cu ft Bottom-Freezer Refrigerator with Ice Maker (Printproof Stainless Steel) ENERGY STAR
Refrigerators,5001252393,1049,1049,17.2-cu ft Counter-Depth Bottom-Freezer Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR
Refrigerators,50161485,1999,1799,22.07-cu ft Bottom-Freezer Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR
Refrigerators,5001252389,949,949,17.2-cu ft Counter-Depth Bottom-Freezer Refrigerator (White) ENERGY STAR
Refrigerators,5001252391,949,949,17.2-cu ft Counter-depth Bottom-Freezer Refrigerator (Black Metallic Steel) ENERGY STAR
Refrigerators,50161487,1899,1709,22.07-cu ft Bottom-Freezer Refrigerator with Ice Maker (White) ENERGY STAR
